sra_short_id,sra_long_id
SRR5884789,SRR5884790
DRR398878,DRR398877
ERR15075901,ERR15076665
SRR11425861,SRR11425862
SRR11425872,SRR11425873
SRR24951857,SRR26139046
SRR27214082,SRR27336663
SRR27214069,SRR27336652
SRR11425874,SRR11425875
SRR12827386,SRR12827388
SRR5884866,SRR5884865
SRR11292825,SRR11300819
SRR23362565,SRR26412748
SRR33047868,SRR33035061
SRR18691816,SRR18691817
SRR3242010,SRR6807657
SRR34412147,SRR34412145
SRR11948952,SRR12298547
SRR11425887,SRR11425888
SRR26095938,SRR27135503
SRR12183911,SRR12247555
SRR17731598,SRR17772293
ERR5191987,ERR5214333
SRR22753364,SRR22753363
SRR27214063,SRR27336653
SRR27214038,SRR27336658
SRR27214034,SRR27336669
SRR27213941,SRR27336664
ERR5319399,ERR5353156
SRR27214058,SRR27336657
SRR27214118,SRR27336655
SRR12827384,SRR12827385
SRR12827392,SRR12827391
SRR13181500,SRR13181501
SRR11108583,SRR11108582
ERR10639950,ERR12131657
SRR26148681,SRR26148682
SRR17200473,SRR17200424
SRR12826231,SRR12826232
SRR12936506,SRR12936505
SRR12047106,SRR12047105
ERR10639932,ERR12131656
SRR18274958,SRR18274952
SRR5514547,SRR5514549
SRR33210437,SRR33210433
SRR25497765,SRR25497764
SRR4097327,SRR4097329
SRR4097346,SRR4097352
SRR4097749,SRR4097763
SRR4097285,SRR4097312
SRR4097610,SRR4097624
SRR4097652,SRR4097691
SRR5406200,SRR15271131
SRR5713999,SRR5629777
SRR31521402,SRR31521401
SRR1427243,SRR1427245
SRR6799415,SRR6703120
SRR6514048,SRR6514050
ERR5319401,ERR5353156
SRR13183139,SRR13997540
SRR6515290,SRR6515291
SRR16069090,SRR16069089
SRR13183139,SRR13997540
SRR29757346,SRR30357364
SRR31402166,SRR31834157
SRR31701231,SRR32324014
SRR6799415,SRR6799416
SRR3242016,SRR6703494
SRR9883196,SRR9855331
SRR12519119,SRR21449964
SRR6515888,SRR6515889
ERR5422731,ERR5420946
SRR24782006,SRR24939726
SRR24951986,SRR26139062
SRR10094351,SRR15271124
SRR11038966,SRR11038981
SRR12184020,SRR12247664
ERR10669807,ERR13695615
SRR19691747,SRR22753362
SRR29213360,SRR32629793
SRR14865957,SRR14883177
SRR13643256,SRR21547802
SRR900139,SRR2080785
ERR5216614,ERR5902795
ERR3555822,ERR3550082
ERR5216490,ERR5295524
SRR11457568,SRR11513874
SRR26465503,SRR26465543
SRR14506601,SRR14506600
SRR6515665,SRR6515667
SRR20215787,SRR20215786
SRR5598923,SRR8297687
SRR26465406,SRR26465447
SRR18274957,SRR18274961
SRR28618262,SRR29090062
ERR11503886,ERR11749526
SRR26465506,SRR26465546
SRR24782004,SRR24939725
SRR13563379,SRR23291426
SRR22543934,SRR23044220
ERR13695591,ERR13695622
SRR11948647,SRR12298478
SRR27214339,SRR27336656
ERR5216574,ERR5902785
SRR11948967,SRR12298506
SRR12509485,SRR13289795
SRR11457780,SRR11513871
SRR18274963,SRR18274955
DRR609188,DRR609187
ERR13695582,ERR13695620
SRR26465504,SRR26465544
SRR28815870,SRR29099097
SRR33320337,SRR33738965
SRR10998795,SRR10998794
SRR30355800,SRR31075284
ERR5422845,ERR5671649
SRR27710325,SRR28375027
SRR5598895,SRR8306485
SRR8607467,SRR6747884
DRR111570,DRR140925
SRR3112314,SRR7817848
SRR31402162,SRR31834146
SRR26162827,SRR26994302
SRR15076550,SRR15076551
SRR11949210,SRR12298657
ERR1023860,ERR15284509
SRR26465404,SRR26465445
SRR18131200,SRR18131199
SRR11949211,SRR12298658
SRR26595505,SRR26624653
SRR14865952,SRR14883172
ERR13695575,ERR13695617
SRR12170550,SRR12170549
SRR33047872,SRR33035065
SRR10013882,SRR10013760
SRR10718121,SRR10686670
SRR11949254,SRR12298784
SRR27482347,SRR28375017
SRR28995500,SRR28995499
SRR28995489,SRR28995488
SRR11457776,SRR11513870
SRR21018016,SRR29842444
SRR11457694,SRR11513875
SRR11457440,SRR11513892
SRR10013875,SRR10013755
SRR14865941,SRR14883161
SRR12342989,SRR12342984
SRR16071937,SRR16069012
SRR5253096,SRR29842445
SRR11457414,SRR11513879
SRR29344633,SRR30149192
ERR5216624,ERR5902797
SRR21882315,SRR22580995
SRR14865953,SRR14883173
SRR12183878,SRR12247522
SRR30006293,SRR30357357
SRR12184077,SRR12247719
SRR12183879,SRR12247523
SRR12183870,SRR12247514
SRR14865953,SRR14883173
SRR22543900,SRR23044207
SRR22543934,SRR23044220
SRR22543948,SRR23044203
SRR27584582,SRR27584581
SRR11425885,SRR11425886
SRR11425857,SRR11425858
SRR11425881,SRR11425882
SRR11425879,SRR11425880
SRR28012680,SRR28036858
SRR27214152,SRR27336650
SRR27214152,SRR27336650
